,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Morehead,1,US,1586541671,31,37.27,-87.18,51.01,8.05
1,Mataura,6,NZ,1586542035,95,-46.19,168.86,42.01,1.99
2,Puerto Ayora,20,EC,1586541594,66,-0.74,-90.35,86.0,5.82
3,Chui,6,UY,1586541593,60,-33.7,-53.46,69.33,10.18
4,Shimoda,75,JP,1586542038,70,34.67,138.95,48.2,3.36
5,Ushuaia,75,AR,1586541389,70,-54.8,-68.3,46.4,23.04
6,Port Hardy,75,CA,1586541769,76,50.7,-127.42,50.0,12.75
7,Cape Town,3,ZA,1586541505,82,-33.93,18.42,66.0,4.7
8,Bambous Virieux,40,MU,1586541607,78,-20.34,57.76,78.8,13.87
9,Vaini,20,TO,1586541321,93,-21.2,-175.2,64.4,2.24
10,New Norfolk,75,AU,1586541579,93,-42.78,147.06,55.4,1.12
11,Kaitangata,21,NZ,1586541584,85,-46.28,169.85,51.01,1.72
12,Ribeira Grande,40,PT,1586541586,77,38.52,-28.7,64.4,5.82
13,Hermanus,2,ZA,1586541578,91,-34.42,19.23,64.99,3.69
14,Nanortalik,100,GL,1586541614,78,60.14,-45.24,36.39,8.05
15,Dikson,98,RU,1586542019,97,73.51,80.55,14.16,6.24
16,Atuona,19,PF,1586541343,77,-9.8,-139.03,81.95,11.95
17,Ağdaş,90,AZ,1586542052,75,40.65,47.48,46.4,2.24
18,Aksarka,19,RU,1586542053,92,66.56,67.8,15.93,6.93
19,Touros,40,BR,1586542054,62,-5.2,-35.46,87.8,12.75
20,Toora-Khem,100,RU,1586542055,61,52.47,96.11,33.13,6.69
21,Kahului,1,US,1586541967,88,20.89,-156.47,72.0,4.25
22,Nikolskoye,75,RU,1586541609,93,59.7,30.79,35.6,4.47
23,Punta Arenas,75,CL,1586541430,66,-53.15,-70.92,48.2,17.22
24,Longyearbyen,20,SJ,1586542059,59,78.22,15.64,3.2,6.93
25,Necochea,0,AR,1586542061,52,-38.55,-58.74,73.0,14.0
26,Saint-Philippe,20,RE,1586541579,74,-21.36,55.77,78.8,16.11
27,Bonthe,55,SL,1586542063,76,7.53,-12.51,84.42,10.56
28,Nhulunbuy,75,AU,1586542064,94,-12.23,136.77,77.0,9.78
29,Oistins,20,BB,1586541602,62,13.07,-59.53,86.0,16.11
30,Ende,47,ID,1586542066,72,-8.84,121.66,81.52,2.17
31,Beloha,41,MG,1586541582,76,-25.17,45.05,72.21,19.22
32,Khatanga,100,RU,1586542041,92,71.97,102.5,28.38,20.94
33,Soyo,99,AO,1586542069,86,-6.13,12.37,78.98,2.35
34,Hobart,75,AU,1586541499,93,-42.88,147.33,55.4,1.12
35,Yellowknife,20,CA,1586541529,66,62.46,-114.35,12.99,17.22
36,Toshām,17,IN,1586542072,22,28.88,75.92,84.79,3.91
37,Koumac,48,NC,1586542073,75,-20.57,164.28,72.61,6.44
38,Albany,75,US,1586541302,56,42.6,-73.97,46.0,25.28
39,Chardara,100,KZ,1586542076,48,41.25,67.97,53.6,3.94
40,Balkhash,0,KZ,1586542077,59,46.84,74.98,39.04,6.6
41,George Town,40,MY,1586541484,88,5.41,100.34,84.0,2.75
42,Airai,42,TL,1586541585,72,-8.93,125.41,60.17,0.58
43,Vila,75,PT,1586542080,87,42.03,-8.16,61.0,5.82
44,Tura,0,IN,1586542081,35,25.52,90.22,73.81,4.54
45,Guerrero Negro,32,MX,1586542082,57,27.98,-114.06,64.26,17.83
46,Upernavik,9,GL,1586541609,86,72.79,-56.15,18.19,5.7
47,Arrondissement de Pontarlier,34,FR,1586542085,41,46.83,6.25,69.8,5.82
48,Les Cayes,37,HT,1586542086,71,18.2,-73.75,82.94,4.32
49,Rikitea,94,PF,1586541583,75,-23.12,-134.97,76.86,6.13
50,San Patricio,5,MX,1586542088,78,19.22,-104.7,82.4,5.82
51,Mīzan Teferī,98,ET,1586542089,64,6.98,35.58,64.04,2.37
